VIN|NUMEROINVENTARIO|COSTOCOMPRA|COSTOACTUAL|AÑO|MARCA|MODELO|VERSION|COLOR|INTERIOR|STATUS|TIPOCOMPRA|FECHACOMPRA|PLACAS|FECHAALTA|NUEVOUSADO
                 |434671              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435115              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435116              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435117              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435126              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435127              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435128              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435131              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435132              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435133              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435136              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435137              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435138              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435140              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435141              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435143              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435193              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435194              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435212              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435264              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435265              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
                 |435266              |0.00|0.00||                              |                              |                              |                              |                              |DISPONIBLE          |                              ||||Nuevo     
MNTFP5CP2P6000142|441424              |452273.14|452273.14|2023|NISSAN                        |KICKS PLATINUM E-POWER        |KICKS                         |BLANCO BITONO                 |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|27/09/22||28/09/2022|Nuevo     
MNTFP5CP1P6001136|443477              |434820.61|434820.61|2023|NISSAN                        |KICKS EXCLUSIVE E-POWER       |KICKS                         |PLATA BRILLANTE               |                              |DISPONIBLE          |Compra Intercambios Partes Rel|26/07/23||22/10/2022|Nuevo     
3N1AB8AE9PY212499|449527              |330256.81|330256.81|2023|NISSAN                        |SENTRA ADVANCE CVT            |SENTRA                        |PLATA BRILLANTE               |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|20/12/22||21/12/2022|Nuevo     
3N8CP5HE8PL516176|459470              |353068.59|353068.59|2023|NISSAN                        |KICKS EXCLUSIVE CVT NEGRO     |KICKS                         |GRIS VOLCANICO                |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|24/03/23||28/03/2023|Nuevo     
1N4AL4AP3PN357481|459472              |577617.20|577617.20|2023|NISSAN                        |ALTIMA EXCLUSIVE TURBO        |ALTIMA                        |ROJO MERLOT                   |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|24/03/23||28/03/2023|Nuevo     
JN8CT3MT7PW000583|460799              |645132.75|645132.75|2023|NISSAN                        |XTRAIL E-POWER EXCLUSIVE 2 ROW|X-TRAIL                       |CHAMPAGNE                     |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|04/04/23||05/04/2023|Nuevo     
JN8CT3MT7PW000759|462976              |645132.75|645132.75|2023|NISSAN                        |XTRAIL E-POWER EXCLUSIVE 2 ROW|X-TRAIL                       |AZUL IMPERIAL                 |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|27/04/23||28/04/2023|Nuevo     
JN8CT3MT6PW000865|463441              |645132.75|645132.75|2023|NISSAN                        |XTRAIL E-POWER EXCLUSIVE 2 ROW|X-TRAIL                       |GRIS VOLCANICO                |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|29/04/23||02/05/2023|Nuevo     
3N1CN8AE5PL846969|465748              |312238.55|312238.55|2023|NISSAN                        |VERSA EXCLUSIVE CVT           |VERSA                         |GRIS LUNAR                    |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|22/05/23||23/05/2023|Nuevo     
JN8AT3MT0PW008404|471500              |594003.68|594003.68|2023|NISSAN                        |X-TRAIL PLATINUM PLUS CVT 2 RO|X-TRAIL                       |ROJO BURDEOS                  |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|04/07/23||08/07/2023|Nuevo     
5N1DR3ML3PC273399|471502              |855685.10|855685.10|2023|NISSAN                        |PATHFINDER EXCLUSIVE T/A 3.5L |PATHFINDER                    |AZUL MEDITERRANEO             |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|04/07/23||06/07/2023|Nuevo     
JN8AT3MT7PW008870|472236              |523010.64|523010.64|2023|NISSAN                        |X-TRAIL EXCLUSIVE CVT 2 ROW   |X-TRAIL                       |GRIS VOLCANICO                |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|12/07/23||13/07/2023|Nuevo     
JN8AT3MLXPW002741|472305              |536100.11|536100.11|2023|NISSAN                        |XTRAIL EXCLUSIVE 3 ROW        |X-TRAIL                       |BLANCO SATINADO               |                              |DISPONIBLE          |Compra Intercambios Partes Rel|26/02/24||14/07/2023|Nuevo     
5N1DR3ML0PC275661|473004              |855685.10|855685.10|2023|NISSAN                        |PATHFINDER EXCLUSIVE T/A 3.5L |PATHFINDER                    |BEIGE                         |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|19/07/23||21/07/2023|Nuevo     
JN8CT3MTXPW001811|473268              |719975.05|719975.05|2023|NISSAN                        |X-TRAIL E-POWER ELÉCTRICO PLAT|X-TRAIL                       |BLANCO SATINADO               |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|20/07/23||26/07/2023|Nuevo     
3N1AB8AE1PY325430|474872              |290640.55|290640.55|2023|NISSAN                        |SENTRA SENSE T/M              |SENTRA                        |BLANCO PERLADO                |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|09/08/23||10/08/2023|Nuevo     
5N1DR3ML2PC277069|474879              |855685.10|855685.10|2023|NISSAN                        |PATHFINDER EXCLUSIVE T/A 3.5L |PATHFINDER                    |ROJO BURDEOS                  |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|09/08/23||10/08/2023|Nuevo     
MNTFP5CP0P6003525|477055              |445877.55|445877.55|2023|NISSAN                        |KICKS EXCLUSIVE E-POWER       |KICKS                         |PLATA BRILLANTE               |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|28/08/23||29/08/2023|Nuevo     
3N1CN8AE2RL817478|481167              |328797.55|328797.55|2024|NISSAN                        |VERSA EXCLUSIVE CVT           |VERSA                         |GRIS LUNAR                    |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|25/09/23||30/09/2023|Nuevo     
JN8CT3MT0PW002336|481438              |652457.05|652457.05|2023|NISSAN                        |XTRAIL E-POWER EXCLUSIVE 2 ROW|X-TRAIL                       |BLANCO SATINADO               |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|29/09/23||30/09/2023|Nuevo     
3N6AD31AXPK879346|484524              |350422.28|350422.28|2023|NISSAN                        |NP300 PICK UP TM AC           |NP 300                        |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|25/10/23||26/10/2023|Nuevo     
3N6AD31A0PK880120|484528              |350422.28|350422.28|2023|NISSAN                        |NP300 PICK UP TM AC           |NP 300                        |BLANCO                        |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|25/10/23||26/10/2023|Nuevo     
3N8CP5HE1PL578003|485321              |334945.24|334945.24|2023|NISSAN                        |KICKS ADVANCE CVT NEGRO       |KICKS                         |BLANCO PERLADO                |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|30/10/23||31/10/2023|Nuevo     
JN8AT3MT7RW012002|486689              |594004.68|594004.68|2024|NISSAN                        |XTRAIL PLATINUM PLUS 2 ROW    |X-TRAIL                       |BLANCO SATINADO               |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|11/11/23||13/11/2023|Nuevo     
5N1DR3ML8PC279098|486704              |860512.16|860512.16|2023|NISSAN                        |PATHFINDER EXCLUSIVE T/A 3.5L |PATHFINDER                    |ROJO BURDEOS                  |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|10/11/23||13/11/2023|Nuevo     
3N1AB8AE9RY248051|487297              |343040.55|343040.55|2024|NISSAN                        |SENTRA ADVANCE CVT            |SENTRA                        |AZUL ZAFIRO                   |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|13/11/23||17/11/2023|Nuevo     
JN8AT3ML9RW003558|488012              |577794.87|577794.87|2024|NISSAN                        |XTRAIL PLATINUM 3 ROW         |X-TRAIL                       |ROJO BURDEOS                  |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|19/11/23||21/11/2023|Nuevo     
MNTFP5CP3R6006261|488139              |454208.14|454208.14|2024|NISSAN                        |KICKS E-POWER EXCLUSIVE       |KICKS                         |AZUL ESPACIAL                 |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|21/11/23||22/11/2023|Nuevo     
JN8CT3MT4RW003315|490056              |720008.48|720008.48|2024|NISSAN                        |XTRAIL E-POWER PLATINUM 2 ROW |X-TRAIL                       |GRIS VOLCANICO BITONO         |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|05/12/23||06/12/2023|Nuevo     
MNTFP5CP0R6005729|490199              |471556.81|471556.81|2024|NISSAN                        |KICKS E-POWER PLATINUM        |KICKS                         |BLANCO BITONO                 |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|06/12/23||09/12/2023|Nuevo     
JN8AT3MT5RW014704|490853              |594004.68|594004.68|2024|NISSAN                        |XTRAIL PLATINUM PLUS 2 ROW    |X-TRAIL                       |AZUL IMPERIAL                 |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|08/12/23||12/12/2023|Nuevo     
JN8AT3MT6RW014288|491425              |594004.68|594004.68|2024|NISSAN                        |XTRAIL PLATINUM PLUS 2 ROW    |X-TRAIL                       |BLANCO SATINADO               |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|14/12/23||18/12/2023|Nuevo     
JN8CT3MT9RW003830|491426              |720008.48|720008.48|2024|NISSAN                        |XTRAIL E-POWER PLATINUM 2 ROW |X-TRAIL                       |GRIS VOLCANICO                |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|14/12/23||18/12/2023|Nuevo     
JN8CT3MT3RW003368|491427              |652490.48|652490.48|2024|NISSAN                        |XTRAIL E-POWER EXCLUSIVE 2 ROW|X-TRAIL                       |ROJO BURDEOS                  |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|14/12/23||18/12/2023|Nuevo     
3N8CP5HE7RL503731|491438              |376515.00|376515.00|2024|NISSAN                        |KICKS PLATINUM CVT NEGRO      |KICKS                         |BLANCO PERLADO                |                              |DEMO                |COMPRA DEMOS A PLANTA CON FINA|14/12/23||18/12/2023|Nuevo     
JN8AT3ML8RW003793|491676              |577794.87|577794.87|2024|NISSAN                        |XTRAIL PLATINUM 3 ROW         |X-TRAIL                       |BLANCO SATINADO               |                              |DISPONIBLE          |COMPRA A PLANTA CON FINANCIERA|18/12/23||19/12/2023|Nuevo     
