FACTURA|FECHAFACTURA|TIPOPROVEEDOR|NUMEROPROVEEDOR|NOMBREPROVEEDOR|TIPOCOMPRA|NUMEROPARTE|DESCRIPCION|CANTIDAD|COSTOUNITARIO|COSTO
37958640       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |NIMEXU03Q1DD        |LIMPIADR SIST F               |180|153.92|27705.60
37958640       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |NITROTAP01DD        |NITRO SERV/TAPO               |50|281.20|14060.00
37961541       |30/09/24|OTROS                         |6F        |NR FINANCE MEXICO SA DE CV    |6                             |NMXCNGEGR151        |GARANTIA EXTENDIDA            |1|4048.24|4048.24
37969043       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |546116KG0A          |ESTABILIZADOR D               |1|2789.59|2789.59
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |10120ZT70J          |ANTICONGELANTE                |48|69.41|3331.68
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |11720ET00A          |CORREA VENT/BAN               |1|521.24|521.24
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |117201KT0A          |BANDA VENT/ALTE               |3|633.90|1901.70
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |15208ED50A          |FILTRO ACEITE                 |3|132.89|398.67
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |1654602N01          |FILTRO DE AIRE                |2|528.96|1057.92
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |165464JM1A          |FILTRO DE AIRE                |20|200.34|4006.80
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |278915RB0C          |FILTRO CAJA DE                |20|260.94|5218.80
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |284195FA2B          |CAMARA VISTA LA               |2|7197.00|14394.00
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |3N3E16RN0A          |TAPETES USO RUD               |1|833.33|833.33
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |3N3Q8A004GE2        |NCF 4G 2A SERV                |3|9019.50|27058.50
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |320018J29J          |ACEIT TM 75W85                |16|314.96|5039.36
37969140       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |805015EF1A          |CNTRL REMOT DE                |1|589.76|589.76
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |D10606LE0A          |KIT BALAT FRENO               |4|1105.24|4420.96
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |D40606LA0A          |KIT BALAT DISC                |3|1177.77|3533.31
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |E61104KH8A          |AMORTIGUADOR DE               |2|1264.79|2529.58
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |F31019LEMA          |VISTA DEL IZQ                 |1|1743.91|1743.91
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |H0564VS52A          |LLAVE SIN LABRA               |1|1088.16|1088.16
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |H06013TA1A          |CILINDRO PUERTA               |2|485.36|970.72
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |NIMEXSATRT3         |SERV ADD RT 3 A               |6|9754.72|58528.32
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |NIMEXT7A00AF        |ESTRIBOS LAT OF               |1|7470.03|7470.03
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |NIMEX4KH02AF        |TUMBABURROS CUB               |1|7797.12|7797.12
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |QCVT1LTNS3          |ACEITE CVT 946M               |144|256.71|36966.24
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |11220EL50A          |AISLADOR DE MOT               |1|1019.84|1019.84
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |11920VN20A          |BANDA COMPRESOR               |1|211.96|211.96
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |1654602N01          |FILTRO DE AIRE                |1|528.96|528.96
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |170403SH0F          |BOMBA COMPLETA-               |1|4831.23|4831.23
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |2626189949          |BULBO LAMPARA A               |10|74.32|743.20
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |262728992C          |BULBO                         |2|23.13|46.26
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |272261HK0A          |CNTRL/AMPL-VENT               |1|942.84|942.84
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |288904KH0A          |PLUMA LIMP PARA               |2|228.31|456.62
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |3N3Q8A004GE2        |NCF 4G 2A SERV                |10|9019.50|90195.00
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |3200500QAEKT        |INTERRUPTOR DE                |1|873.19|873.19
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |402066LE0A          |ROTOR FRENO DIS               |2|649.69|1299.38
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |546139ES0A          |BUJE ESTABILIZA               |10|52.58|525.80
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |620226EM0J          |FASCIA KIT FRON               |1|1124.83|1124.83
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |620906EM0A          |ABSORB ENERGIA                |1|269.71|269.71
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |788104JB0A          |JGO LODERAS TRA               |1|311.36|311.36
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |788114JB0A          |JGO LODERAS TRA               |1|311.36|311.36
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |80644EL10A          |CBTA MANIJA EXT               |1|83.18|83.18
37969499       |30/09/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |828304AF2A          |SELLO HULE PTA                |1|327.90|327.90
37983684       |30/09/24|OTROS                         |6F        |NR FINANCE MEXICO SA DE CV    |6                             |NMXCNGEGR141        |GARANTIA EXTENDIDA            |1|2487.46|2487.46
37986498       |30/09/24|OTROS                         |F1        |GOLFO MOTRIZ                  |AJ                            |NIMEXPULSMAF        |PORTAEQUIPJEPUL               |1|12553.16|12553.16
38003747       |02/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |CT2055017PDD        |LLACONT 205/50R               |4|2750.15|11000.60
