NUMERO|DESCRIPCION|TIPOPARTE|ALMACEN|EXISTENCIA|COSTOUNITARIO|COSTO|PRECIO|ULTIMACOMPRA|ULTIMAVENTA|FECHAALTA|CLASIFICACION
824203XA0D          |RODAMNTO L INF-               |REFACCI                       |VILLAHERM      |1|760.83|760.83|1306.03|27/09/24|//|16/05/24|Nuevo     |
254013SH1A          |INTERRUP/PRINC/               |REFACCI                       |VILLAHERM      |1|2437.77|2437.77|4775.86|15/03/24|05/03/22|03/04/12|Obsoleto  |
4322291P0A          |PERNO CUBO                    |REFACCI                       |VILLAHERM      |6|83.93|503.58|160.34|03/06/24|27/05/24|03/03/07|Rapido    |
873704FY0A          |VEST Y COJIN AS               |REFACCI                       |VILLAHERM      |1|693.69|693.69|1913.79|07/11/19|16/11/19|03/10/15|Obsoleto  |
769245RB0A          |RIBETE LART/TRA               |REFACCI                       |VILLAHERM      |1|202.46|202.46|368.97|23/10/24|09/05/24|03/09/15|Medio     |
3N3U1E0000          |RADIO PDC                     |ACCESOR                       |VILLAHERM      |1|3889.58|3889.58|5386.66|30/04/21|29/05/21|01/10/16|Obsoleto  |
NISSANQ2FY24        |CODIGO PROMO TALL             |REFACCI                       |VILLAHERM      |3|0.01|0.03|1.00|//|30/09/24|11/07/24|Nuevo     |
0165800Q0F          |TAPON PISO DEL                |REFACCI                       |VILLAHERM      |1|18.53|18.53|36.21|29/04/22|//|03/03/07|Obsoleto  |
119208J110          |BANDA COMPRESOR               |REFACCI                       |VILLAHERM      |1|173.93|173.93|431.03|26/10/20|30/11/11|03/05/01|Obsoleto  |
E62106LY3A          |AMORTIGUADOR TR               |REFACCI                       |VILLAHERM      |2|1304.36|2608.72|2099.14|30/08/24|18/09/24|06/11/23|Rapido    |
403004KH5B          |RIN ACERO                     |REFACCI                       |VILLAHERM      |2|961.30|1922.60|3456.90|27/01/24|07/10/23|03/06/15|Obsoleto  |
265519LE0A          |CASQUILLO LAMPA               |REFACCI                       |VILLAHERM      |1|204.36|204.36|374.14|31/07/24|//|03/04/13|Obsoleto  |
876036CA0A          |SOP/GUIA CABECE               |REFACCI                       |VILLAHERM      |1|157.39|157.39|298.28|08/03/22|28/06/22|03/06/18|Obsoleto  |
391006LB0A          |EJE IMPULSOR DE               |REFACCI                       |VILLAHERM      |2|4881.20|9762.40|7659.48|23/10/24|17/10/24|03/02/19|Rapido    |
668943SG0A          |CUBRTA-PROTEC/D               |REFACCI                       |VILLAHERM      |1|601.44|601.44|1219.83|09/01/23|//|03/04/12|Obsoleto  |
6572201E00          |BROCHE                        |REFACCI                       |VILLAHERM      |9|34.01|306.09|69.14|12/01/24|09/02/24|03/10/90|Medio     |
149301KA0A          |VALVULA CONTROL               |REFACCI                       |VILLAHERM      |1|1747.40|1747.40|3383.62|10/07/24|//|03/06/10|Obsoleto  |
B4A67EQ30D          |KIT DE ARNES IZ               |REFACCI                       |VILLAHERM      |7|377.88|2645.16|810.34|04/02/20|09/01/24|03/12/16|Lento     |
76411F4230          |EXTRIBO EXT.IZQ               |REFACCI                       |VILLAHERM      |1|231.92|231.92|801.72|03/04/23|06/03/23|03/09/96|Obsoleto  |
GW94050000          |SELLADO LOCTITE               |REFACCI                       |VILLAHERM      |4|1515.40|6061.60|2487.07|27/06/22|08/04/24|03/09/18|Lento     |
E43034AF0A          |AMORTIGUADOR DE               |REFACCI                       |VILLAHERM      |1|1302.39|1302.39|2271.55|13/03/24|25/10/24|03/08/15|Rapido    |
243405RB0A          |TERMINAL TIERRA               |REFACCI                       |VILLAHERM      |1|155.78|155.78|292.24|06/09/24|25/07/24|03/09/15|Medio     |
165465R70A          |ELEMENTO LIMP                 |REFACCI                       |VILLAHERM      |2|347.97|695.94|583.80|31/10/24|26/10/24|03/12/21|Rapido    |
226A01KC0A          |SENSOR OXIGENO                |REFACCI                       |VILLAHERM      |1|2090.96|2090.96|3788.79|23/10/24|10/07/24|03/05/11|Rapido    |
277234BU0A          |SENSOR EVAPORAD               |REFACCI                       |VILLAHERM      |1|313.91|313.91|581.90|21/10/24|28/10/24|03/01/14|Rapido    |
